Model,Reference_number,Collection,Color_Case,Color_Strap,Description_Gender,Case_Diameter_Case_material,Material_Strap,Description_Movement,caliber_Time_display/function,Type_Clasp,Water_Resistant,Dial_description,Link_product
Pilot Schott NYC - Limited Edition,H64735561,Khaki Aviation,Green,Brown,,Stainless steel,Cow leather,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,20 bar (200m)/290 psi (656.1ft),,https://www.hamiltonwatch.com/en-int/h64735561-khaki-pilot-schott.html
Thinline Small Second Quartz,H38411140,Jazzmaster,Blue,Silver,Men,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38411140-jazzmaster.html
Thinline Auto,H38525541,Jazzmaster,Blue,Brown,Men,Stainless steel,Calf leather,,42-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38525541-jazzmaster-thinline-auto.html
Thinline Auto,H38525721,Jazzmaster,Beige,Black,Men,Stainless steel,Calf leather,,42-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38525721-jazzmaster-thinline-auto.html
Open Heart Auto,H32735551,Jazzmaster,White,Brown,,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32735551-jazzmaster-1.html
Viewmatic Auto,H32515535,Jazzmaster,Black,Brown,Men,Stainless steel,Cow leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32515535-jazzmaster-day-date-auto.html
Auto,H24515521,Ventura,Beige,Brown,,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24515521-ventura.html
Day Date Quartz,H43311985,Broadway,Grey,Green,Men,Stainless steel,Textile,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h43311985-broadway-day-date-quartz.html
Day Date Auto,H43515875,Broadway,Aubergine,Aubergine,Men,Stainless steel,Calf leather,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h43515875-broadway-day-date-auto.html
Auto,H24515581,Ventura,Grey,Brown,,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24515581-ventura.html
Valiant Quartz,H39251194,American Classic,Mother of pearl,,Women,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h39251194-american-classic-valiant-quartz.html
Thinline Small Second Quartz,H38411580,Jazzmaster,Grey,Brown,Men,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38411580-jazzmaster.html
Lady Auto,H32315142,Jazzmaster,Blue,,Women,Stainless steel,Stainless steel,,43-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32315142-jazzmaster-lady-auto.html
Viewmatic Auto,H32515555,Jazzmaster,Silver,Brown,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32515555-jazzmaster-day-date-auto.html
Open Heart Auto,H32705842,Jazzmaster,Blue,Beige,Men,Stainless steel,,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32705842-jazzmaster-open-heart-auto.html
Open Heart Auto,H32565595,Jazzmaster,Brown,Brown,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32565595-jazzmaster-auto-chrono.html
Day Date Auto,H43515175,Broadway,Aubergine,,Men,Stainless steel,Stainless steel,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h43515175-broadway-day-date-auto.html
Day Date	Quartz,H43311941,Broadway,Blue,Blue,Men,Stainless steel,Textile,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h43311941-broadway-day-date-quartz.html
Skeleton Auto,H42535180,Jazzmaster,Anthracite,,Men,Stainless steel,,"By suppressing the escapement regulator and through the refinement of the kinematic chain from the barrel to the escapement, the H-10-S has the capacity to store double the power of comparable standard movements, offering an extended power reserve of up to 80 hours. ",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42535180-jazzmaster-skeleton-auto.html
Skeleton Auto,H42535110,Jazzmaster,White,,Men,Stainless steel,Stainless steel,"By suppressing the escapement regulator and through the refinement of the kinematic chain from the barrel to the escapement, the H-10-S has the capacity to store double the power of comparable standard movements, offering an extended power reserve of up to 80 hours. ",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42535110-jazzmaster-skeleton-auto.html
Open Heart Auto,H32565155,Jazzmaster,Silver,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32565155-jazzmaster-auto-chrono.html
Broadway Day Date Auto,H43515141,Broadway,Blue,,Men,Stainless steel,Stainless steel,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h43515141-broadway-day-date-auto.html
Open Heart Auto,H32565735,Jazzmaster,Black,Black,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32565735-jazzmaster-auto-chrono.html
Broadway Day Date Auto Chrono,H43516641,Broadway,Blue,Blue,Men,Stainless steel,Cow leather,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h43516641-day-date-auto-chrono.html
Maestro Auto Chrono,H32576515,Jazzmaster,White,Brown,Men,Stainless steel,Calf leather,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32576515-jazzmaster-auto-chrono.html
Ardmore Quartz,H11421114,American Classic,Silver,,Women,Stainless steel,Stainless steel,,,Mineral,3 bar (30m)/43 psi (98.4ft),,https://www.hamiltonwatch.com/en-int/h11421114-american-classic-ardmore-quartz.html
Jazzmaster Face 2 Face Limited Edition,H32856705,Jazzmaster,Grey,Black,Men,Stainless steel,,,40-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32856705-jazzmaster-face-to-face.html
Ardmore Quartz,H11421814,American Classic,Silver,Rose,Women,Stainless steel,Rubber,,,Mineral,3 bar (30m)/43 psi (98.4ft),,https://www.hamiltonwatch.com/en-int/h11421814-american-classic-ardmore-quartz.html
Ardmore Quartz,H11421514,American Classic,Silver,Beige,Women,Stainless steel,Rubber,,,Mineral,3 bar (30m)/43 psi (98.4ft),,https://www.hamiltonwatch.com/en-int/h11421514-american-classic-ardmore-quartz.html
Lady Auto,H42225191,Jazzmaster,Mother of pearl,Bicolor,Women,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42225191-jazzmaster-lady-auto.html
Broadway Day Date Auto,H43515641,Broadway,Blue,Blue,Men,Stainless steel,Cow leather,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h43515641-broadway-daydate-auto.html
Gent Quartz,H32451101,Jazzmaster,Brown,,,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32451101-jazzmaster.html
Auto Chrono,H32616133,Jazzmaster,Black,,Men,Stainless steel,Stainless steel,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32616133-jazzmaster-auto-chrono.html
Lady Quartz,H32351145,Jazzmaster,Blue,,Women,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32351145-jazzmaster-lady-quartz.html
Maestro Auto Chrono,H32766643,Jazzmaster,Blue,Blue,Men,Stainless steel,Canvas,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32766643-jazzmaster-maestro-auto-chrono.html
Maestro Auto Chrono,H32766513,Jazzmaster,White,Brown,Men,Stainless steel,Calf leather,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32766513-jazzmaster-maestro-auto-chrono.html
Viewmatic Auto,H32715551,Jazzmaster,Silver,Brown,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32715551-jazzmaster-viewmatic-auto.html
Lady Quartz,H32351135,Jazzmaster,Black,,Women,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32351135-jazzmaster-lady-quartz.html
Lady Quartz,H32351115,Jazzmaster,Silver,,Women,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32351115-jazzmaster-lady.html
Auto Chrono,H32616533,Jazzmaster,Black,Brown,Men,Stainless steel,Cow leather,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32616533-jazzmaster-auto-chrono.html
Ardmore Quartz,H11221814,American Classic,Silver,Rose,Women,Stainless steel,Calf leather,,,Mineral,3 bar (30m)/43 psi (98.4ft),,https://www.hamiltonwatch.com/en-int/h11221814-american-classic-ardmore-quartz.html
Ardmore Quartz,H11221514,American Classic,Silver,Beige,Women,Stainless steel,Cow leather,,,Mineral,3 bar (30m)/43 psi (98.4ft),,https://www.hamiltonwatch.com/en-int/h11221514-american-classic-ardmore-quartz.html
Ardmore Quartz,H11221014,American Classic,Silver,Green,Women,Stainless steel,Calf leather,,,Mineral,3 bar (30m)/43 psi (98.4ft),,https://www.hamiltonwatch.com/en-int/h11221014-american-classic-ardmore-quartz.html
Auto Chrono,H32596141,Jazzmaster,Blue,,Men,Stainless steel,Stainless steel,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32596141-jazzmaster-auto-chrono.html
Seaview Chrono Quartz,H37512131,Jazzmaster,Black,,Men,Stainless steel,Stainless steel,,,Sapphire,10 bar (100m)/145 psi (328ft),"Time and tide wait for no man. Nor do they need to with the Jazzmaster Seaview collection with its sports inspired case and rotating bezel. Quality and precision quartz movements are the reliable heart of these models, which balance seafaring style with traditional timekeeping.,*Featured in Tenet (2020). Worn by The Protagonist, played by John David Washington., ",https://www.hamiltonwatch.com/en-int/h37512131-jazzmaster-seaview-chrono-quartz.html
Skeleton Lady Auto,H32405551,Jazzmaster,White,Brown,Women,Stainless steel,Calf leather,"The H-20-S is one of Hamilton’s skeleton movements and allows the designers to create watches where the caliber is the star. Through pared-down dials and with prominent patterning, the H-20-S adds a sense of theater to traditional precision timekeeping.",42-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32405551-jazzmaster-viewmatic-skeleton-lady-auto.html
Ardmore Quartz,H11211553,American Classic,Silver,Brown,Women,Stainless steel,Calf leather,,,Mineral,3 bar (30m)/43 psi (98.4ft),,https://www.hamiltonwatch.com/en-int/h11211553-american-classic-ardmore-quartz.html
Thinline Quartz,H38511743,Jazzmaster,Blue,Black,Men,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38511743-jazzmaster-thinline-quartz.html
Chrono Quartz,H24422151,Ventura,Silver,,,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24422151-ventura.html
Chrono Quartz,H24422751,Ventura,Silver,Black,,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24422751-ventura.html
Thinline Chrono Quartz,H38612133,Jazzmaster,Black,,Men,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38612133-jazzmaster-thinline-chrono-quartz.html
Thinline Quartz,H38511733,Jazzmaster,Black,Black,Men,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38511733-jazzmaster-thinline-quartz.html
Chrono Quartz,H24432151,Ventura,Silver,Silver,,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24432151-ventura.html
Thinline Quartz,H38511513,Jazzmaster,White,Brown,Men,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38511513-jazzmaster-thinline-quartz.html
Quartz,H24301511,Ventura,White,Brown,Men,Stainless steel,Calf leather,,,Mineral,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24301511-ventura-quartz.html
Intra-Matic Auto,H38455181,American Classic,Grey,,Men,Stainless steel,Stainless steel,,42-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38455181-intra-matic.html
Intra-Matic Auto,H38455151,American Classic,Silver,,Men,Stainless steel,Stainless steel,,50-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38455151-american-classic-intra-matic-auto.html
Intra-Matic Auto,H38455751,American Classic,Silver,Black,Men,Stainless steel,Goat leather,,50-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38455751-american-classic-intra-matic-auto.html
Mechanical,H69449961,Khaki Field,Green,Green,,Stainless steel,Textile,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h69449961-khaki-field.html
Mechanical,H69449861,Khaki Field,Green,Green,,Stainless steel,Cow leather,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h69449861-khaki-field.html
Mechanical,H69439901,Khaki Field,Brown,Beige,Men,Stainless steel,,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h69439901-khaki-field-mechanical.html
Quartz,H24101511,Ventura,White,Brown,Women,Stainless steel,Calf leather,,,Mineral,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24101511-ventura-quartz.html
Thinline Chrono Quartz,H38612553,Jazzmaster,Silver,Brown,Men,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38612553-jazzmaster-thinline-chrono-quartz.html
RailRoad Lady Quartz,H40311191,American Classic,Mother of pearl,,Women,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h40311191-american-classic-railroad-lady-quartz.html
RailRoad Lady Quartz,H40311691,American Classic,Mother of pearl,Blue,Women,Stainless steel,Nato,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h40311691-american-classic-railroad-lady-quartz.html
RailRoad Lady Quartz,H40391691,American Classic,Mother of pearl,Blue,Women,Stainless steel,Nato,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h40391691-american-classic-railroad-lady-quartz.html
Valiant Auto,H39515754,American Classic,Silver,Black,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h39515754-american-classic-valiant-auto.html
Spirit of Liberty Auto,H42415551,American Classic,Silver,Brown,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42415551-american-classic-spirit-of-liberty-auto.html
Auto,H70455533,Khaki Field,Black,Brown,Men,Stainless steel,Cow leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70455533-khaki-field-auto.html
Mechanical,H69439363,Khaki Field,Green,Green,Men,Stainless steel,Canvas,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h69439363-khaki-field-mechanical.html
Auto,H70455133,Khaki Field,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70455133-khaki-field-auto.html
Auto,H70455733,Khaki Field,Black,Black,Men,Stainless steel,Cow leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70455733-khaki-field-auto.html
Mechanical,H69439933,Khaki Field,Black,Beige,Men,Stainless steel,Canvas,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h69439933-khaki-field-mechanical.html
Pilot Day Date Auto,H64715885,Khaki Aviation,Grey,Brown,Men,Stainless steel,Calf leather,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,20 bar (200m)/290 psi (656.1ft),,https://www.hamiltonwatch.com/en-int/h64715885-khaki-aviation-pilot-day-date-auto.html
Pilot Day Date Auto,H64715135,Khaki Aviation,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,20 bar (200m)/290 psi (656.1ft),,https://www.hamiltonwatch.com/en-int/h64715135-khaki-aviation-pilot-day-date-auto.html
Pilot Day Date Quartz,H64611535,Khaki Aviation,Black,Brown,Men,Stainless steel,Calf leather,,,Sapphire,20 bar (200m)/290 psi (656.1ft),,https://www.hamiltonwatch.com/en-int/h64611535-khaki-aviation-pilot-day-date-quartz.html
Pilot Day Date Auto,H64715535,Khaki Aviation,Black,Brown,Men,Stainless steel,Cow leather,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,20 bar (200m)/290 psi (656.1ft),,https://www.hamiltonwatch.com/en-int/h64715535-khaki-aviation-pilot-day-date-auto.html
Spirit of Liberty Auto,H42415591,American Classic,Grey,Brown,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42415591-american-classic-spirit-of-liberty-auto.html
Auto,H42535140,Jazzmaster,Blue,,Men,Stainless steel,,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42535140-jazzmaster-auto.html
Spirit of Liberty Auto,H42445551,American Classic,Silver,Brown,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42445551-american-classic-spirit-of-liberty-auto.html
Auto,H42535150,Jazzmaster,Silver,,Men,Stainless steel,,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42535150-jazzmaster-auto.html
Pilot Day Date Quartz,H64611135,Khaki Aviation,Black,,Men,Stainless steel,Stainless steel,,,Sapphire,20 bar (200m)/290 psi (656.1ft),,https://www.hamiltonwatch.com/en-int/h64611135-khaki-aviation-pilot-day-date-quartz.html
Titanium Auto,H70575733,Khaki Field,Black,Black,Men,Titanium,,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70575733-khaki-field-titanium-auto.html
Auto,H42535130,Jazzmaster,Black,,Men,Stainless steel,,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42535130-jazzmaster-auto.html
Auto,H70595593,Khaki Field,Black,Beige,Men,Stainless steel,Cow leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70595593-khaki-field-auto.html
Auto,H70595523,Khaki Field,Beige,Brown,Men,Stainless steel,Cow leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70595523-khaki-field-auto.html
Auto,H70515137,Khaki Field,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70515137-khaki-field-auto.html
